Buff ID;Item Name;Max Buy Price (RMB);Min Sell Price (RMB);Quick Price (RMB);Reference Price (RMB);Steam Market Price (USD);Steam Market URL
35493;MAG-7 | Heaven Guard (Factory New);2.2;2.76;2.75;2.76;0.43;https://steamcommunity.com/market/listings/730/MAG-7%20%7C%20Heaven%20Guard%20%28Factory%20New%29
45237;Clutch Case;1.8;1.89;1.88;1.89;0.31;https://steamcommunity.com/market/listings/730/Clutch%20Case
40694;Sticker | Rage;19.6;20.78;20.68;20.78;3.14;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Rage
36351;R8 Revolver | Reboot (Field-Tested);3.4;3.88;3.87;3.88;0.59;https://steamcommunity.com/market/listings/730/R8%20Revolver%20%7C%20Reboot%20%28Field-Tested%29
35074;Glock-18 | Water Elemental (Minimal Wear);32.5;33.72;33.62;33.72;6.01;https://steamcommunity.com/market/listings/730/Glock-18%20%7C%20Water%20Elemental%20%28Minimal%20Wear%29
42998;★ Karambit | Doppler (Factory New);5770;5869.5;5869;5869.5;1032.7;https://steamcommunity.com/market/listings/730/%E2%98%85%20Karambit%20%7C%20Doppler%20%28Factory%20New%29
779194;AK-47 | Phantom Disruptor (Minimal Wear);43.5;43.9;43.8;43.9;8.14;https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Phantom%20Disruptor%20%28Minimal%20Wear%29
34758;Five-SeveN | Monkey Business (Well-Worn);12.7;14.18;14.08;14.18;2.3;https://steamcommunity.com/market/listings/730/Five-SeveN%20%7C%20Monkey%20Business%20%28Well-Worn%29
777266;★ Survival Knife | Scorched (Factory New);728;1200;867.42;867.92;124.06;https://steamcommunity.com/market/listings/730/%E2%98%85%20Survival%20Knife%20%7C%20Scorched%20%28Factory%20New%29
857530;Galil AR | Chromatic Aberration (Field-Tested);11.3;11.74;11.64;11.74;2.07;https://steamcommunity.com/market/listings/730/Galil%20AR%20%7C%20Chromatic%20Aberration%20%28Field-Tested%29
42150;USP-S | Blood Tiger (Field-Tested);20.6;24;23.9;24;3.98;https://steamcommunity.com/market/listings/730/USP-S%20%7C%20Blood%20Tiger%20%28Field-Tested%29
900571;R8 Revolver | Crazy 8 (Well-Worn);6.3;6.78;6.77;6.78;1.08;https://steamcommunity.com/market/listings/730/R8%20Revolver%20%7C%20Crazy%208%20%28Well-Worn%29
886668;StatTrak™ M4A1-S | Night Terror (Field-Tested);25.2;26.3;26.2;26.3;4.6;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20M4A1-S%20%7C%20Night%20Terror%20%28Field-Tested%29
35345;M4A4 | X-Ray (Factory New);124;127;126.5;127;22.12;https://steamcommunity.com/market/listings/730/M4A4%20%7C%20X-Ray%20%28Factory%20New%29
886692;USP-S | Ticket to Hell (Battle-Scarred);2.4;2.68;2.67;2.68;0.43;https://steamcommunity.com/market/listings/730/USP-S%20%7C%20Ticket%20to%20Hell%20%28Battle-Scarred%29
871460;Chef d'Escadron Rouchard | Gendarmerie Nationale;46;49.69;49.59;49.69;7.96;https://steamcommunity.com/market/listings/730/Chef%20d%27Escadron%20Rouchard%20%7C%20Gendarmerie%20Nationale
45369;USP-S | Cortex (Factory New);53;52.88;52.9;53;9.8;https://steamcommunity.com/market/listings/730/USP-S%20%7C%20Cortex%20%28Factory%20New%29
887016;MP7 | Abyssal Apparition (Battle-Scarred);8.5;9.23;9.22;9.23;1.57;https://steamcommunity.com/market/listings/730/MP7%20%7C%20Abyssal%20Apparition%20%28Battle-Scarred%29
42733;★ Flip Knife | Freehand (Well-Worn);953;1014;1013.5;1014;207.14;https://steamcommunity.com/market/listings/730/%E2%98%85%20Flip%20Knife%20%7C%20Freehand%20%28Well-Worn%29
35008;Glock-18 | Candy Apple (Minimal Wear);4.6;4.79;4.78;4.79;0.83;https://steamcommunity.com/market/listings/730/Glock-18%20%7C%20Candy%20Apple%20%28Minimal%20Wear%29
779233;M4A1-S | Player Two (Minimal Wear);282;289;288.5;289;48.57;https://steamcommunity.com/market/listings/730/M4A1-S%20%7C%20Player%20Two%20%28Minimal%20Wear%29
871496;MP9 | Mount Fuji (Factory New);30.2;31.3;31.2;31.3;5.75;https://steamcommunity.com/market/listings/730/MP9%20%7C%20Mount%20Fuji%20%28Factory%20New%29
871462;Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman;120;124;123.5;124;22.48;https://steamcommunity.com/market/listings/730/Cmdr.%20Frank%20%27Wet%20Sox%27%20Baroud%20%7C%20SEAL%20Frogman
